Episode,Score,Epsilon,Total Reward
228,0,0.3205,-0.26
229,0,0.3189,-0.70
230,0,0.3173,-0.70
231,0,0.3157,-0.27
232,0,0.3141,-0.20
233,0,0.3126,-0.70
234,0,0.3110,-0.25
235,0,0.3095,-0.70
236,0,0.3079,-0.31
237,0,0.3064,-0.29
238,0,0.3048,-0.31
239,0,0.3033,-0.28
240,0,0.3018,-0.70
241,0,0.3003,-0.25
242,0,0.2988,-0.27
243,0,0.2973,-0.70
244,0,0.2958,-0.25
245,0,0.2943,-0.28
246,0,0.2929,-0.70
247,0,0.2914,-0.26
248,0,0.2899,-0.30
249,0,0.2885,-0.70
250,0,0.2870,-0.28
251,0,0.2856,-0.29
252,0,0.2842,-0.29
253,0,0.2828,-0.29
254,0,0.2813,-0.22
255,0,0.2799,-0.26
256,0,0.2785,-0.29
257,0,0.2771,-0.30
258,0,0.2758,-0.29
259,0,0.2744,-0.70
260,0,0.2730,-0.32
261,0,0.2716,-0.23
262,0,0.2703,-0.23
263,0,0.2689,-0.26
264,0,0.2676,-0.26
265,0,0.2663,-0.70
266,0,0.2649,-0.25
267,0,0.2636,-0.20
268,0,0.2623,-0.24
269,0,0.2610,-0.70
270,0,0.2597,-0.70
271,0,0.2584,-0.70
272,0,0.2571,-0.70
273,0,0.2558,-0.70
274,0,0.2545,-0.70
275,0,0.2532,-0.70
276,0,0.2520,-0.70
277,0,0.2507,-0.70
278,0,0.2495,-0.28
279,0,0.2482,-0.70
280,0,0.2470,-0.70
281,0,0.2457,-0.70
282,0,0.2445,-0.70
283,0,0.2433,-0.70
284,0,0.2421,-0.70
285,0,0.2409,-0.70
286,0,0.2397,-0.70
287,0,0.2385,-0.70
288,0,0.2373,-0.70
289,0,0.2361,-0.21
290,0,0.2349,-0.22
291,0,0.2337,-0.70
292,0,0.2326,-0.70
293,0,0.2314,-0.26
294,0,0.2302,-0.70
295,0,0.2291,-0.70
296,0,0.2279,-0.70
297,0,0.2268,-0.70
298,0,0.2257,-0.30
299,0,0.2245,-0.70
300,0,0.2234,-0.70
301,0,0.2223,-0.70
302,0,0.2212,-0.70
303,0,0.2201,-0.70
304,0,0.2190,-0.70
305,0,0.2179,-0.23
306,0,0.2168,-0.70
307,0,0.2157,-0.70
308,0,0.2146,-0.70
309,0,0.2136,-0.25
310,0,0.2125,-0.70
311,0,0.2114,-0.70
312,0,0.2104,-0.29
313,0,0.2093,-0.70
314,0,0.2083,-0.70
315,0,0.2072,-0.70
316,0,0.2062,-0.70
317,0,0.2052,-0.31
318,0,0.2041,-0.24
319,0,0.2031,-0.25
320,0,0.2021,-0.29
321,0,0.2011,-0.70
322,0,0.2001,-0.70
323,0,0.1991,-0.70
324,0,0.1981,-0.70
325,0,0.1971,-0.70
326,0,0.1961,-0.25
327,0,0.1951,-0.23
328,0,0.1942,-0.70
329,0,0.1932,-0.26
330,0,0.1922,-0.70
331,0,0.1913,-0.28
332,0,0.1903,-0.20
333,0,0.1893,-0.70
334,0,0.1884,-0.28
335,0,0.1875,-0.70
336,0,0.1865,-0.70
337,0,0.1856,-0.21
338,0,0.1847,-0.24
339,0,0.1837,-0.70
340,0,0.1828,-0.23
341,0,0.1819,-0.70
342,0,0.1810,-0.70
343,0,0.1801,-0.22
344,0,0.1792,-0.70
345,0,0.1783,-0.21
346,0,0.1774,-0.27
347,0,0.1765,-0.70
348,0,0.1756,-0.21
349,0,0.1748,-0.70
350,0,0.1739,-0.70
351,0,0.1730,-0.70
352,0,0.1721,-0.70
353,0,0.1713,-0.70
354,0,0.1704,-0.70
355,0,0.1696,-0.70
356,0,0.1687,-0.70
357,0,0.1679,-0.70
358,0,0.1670,-0.70
359,0,0.1662,-0.70
360,0,0.1654,-0.70
361,0,0.1646,-0.70
362,0,0.1637,-0.70
363,0,0.1629,-0.70
364,0,0.1621,-0.24
365,0,0.1613,-0.70
366,0,0.1605,-0.70
367,0,0.1597,-0.70
368,0,0.1589,-0.70
369,0,0.1581,-0.70
370,0,0.1573,-0.70
371,0,0.1565,-0.70
372,0,0.1557,-0.70
373,0,0.1549,-0.28
374,0,0.1542,-0.70
375,0,0.1534,-0.70
376,0,0.1526,-0.70
377,0,0.1519,-0.28
378,0,0.1511,-0.70
379,0,0.1504,-0.70
380,0,0.1496,-0.21
381,0,0.1489,-0.70
382,0,0.1481,-0.70
383,0,0.1474,-0.70
384,0,0.1466,-0.70
385,0,0.1459,-0.70
386,0,0.1452,-0.70
387,0,0.1444,-0.70
388,0,0.1437,-0.70
389,0,0.1430,-0.70
390,0,0.1423,-0.70
391,0,0.1416,-0.70
392,0,0.1409,-0.70
393,0,0.1402,-0.23
394,0,0.1395,-0.70
395,0,0.1388,-0.70
396,0,0.1381,-0.70
397,0,0.1374,-0.21
398,0,0.1367,-0.29
399,0,0.1360,-0.23
400,0,0.1353,-0.23
401,0,0.1347,-0.70
402,0,0.1340,-0.70
403,0,0.1333,-0.70
404,0,0.1326,-0.70
405,0,0.1320,-0.25
406,0,0.1313,-0.70
407,0,0.1307,-0.70
408,0,0.1300,-0.70
409,0,0.1294,-0.24
410,0,0.1287,-0.70
411,0,0.1281,-0.70
412,0,0.1274,-0.70
413,0,0.1268,-0.70
414,0,0.1262,-0.70
415,0,0.1255,-0.70
416,0,0.1249,-0.70
417,0,0.1243,-0.70
418,0,0.1237,-0.70
419,0,0.1230,-0.70
420,0,0.1224,-0.70
421,0,0.1218,-0.70
422,0,0.1212,-0.70
423,0,0.1206,-0.70
424,0,0.1200,-0.70
425,0,0.1194,-0.20
426,0,0.1188,-0.70
427,0,0.1182,-0.70
428,0,0.1176,-0.30
429,0,0.1170,-0.70
430,0,0.1164,-0.70
431,0,0.1159,-0.70
432,0,0.1153,-0.23
433,0,0.1147,-0.25
434,0,0.1141,-0.70
435,0,0.1136,-0.70
436,0,0.1130,-0.70
437,0,0.1124,-0.70
438,0,0.1119,-0.70
439,0,0.1113,-0.70
440,0,0.1107,-0.70
441,0,0.1102,-0.70
442,0,0.1096,-0.70
443,0,0.1091,-0.70
444,0,0.1085,-0.70
445,0,0.1080,-0.70
446,0,0.1075,-0.70
447,0,0.1069,-0.70
448,0,0.1064,-0.70
